iter	Passed	Remaining
0	150	30002
1	155	15389
2	160	10537
3	167	8186
4	169	6594
5	170	5521
6	172	4753
7	174	4177
8	175	3729
9	178	3394
10	180	3099
11	182	2852
12	183	2642
13	185	2462
14	187	2307
15	188	2170
16	190	2048
17	192	1942
18	194	1851
19	195	1762
20	197	1680
21	198	1606
22	199	1538
23	201	1475
24	202	1417
25	203	1364
26	205	1314
27	206	1269
28	208	1231
29	210	1191
30	211	1154
31	213	1119
32	214	1086
33	215	1054
34	217	1024
35	218	996
36	219	969
37	221	943
38	223	921
39	224	899
40	226	877
41	226	853
42	228	833
43	229	814
44	230	795
45	232	777
46	233	760
47	235	744
48	236	729
49	238	715
50	239	700
51	241	686
52	242	672
53	243	659
54	244	645
55	246	633
56	247	621
57	248	609
58	250	598
59	252	588
60	254	578
61	255	568
62	256	558
63	258	548
64	259	539
65	260	529
66	262	520
67	263	511
68	264	502
69	267	496
70	268	488
71	270	480
72	271	472
73	272	464
74	274	457
75	275	449
76	276	442
77	278	435
78	279	428
79	282	423
80	283	417
81	285	410
82	286	404
83	287	397
84	289	391
85	290	385
86	291	379
87	293	373
88	294	367
89	296	362
90	298	357
91	299	352
92	301	346
93	302	341
94	304	336
95	305	330
96	306	325
97	308	320
98	309	315
99	310	310
100	312	306
101	314	301
102	315	297
103	316	292
104	318	287
105	319	283
106	320	278
107	322	274
108	323	269
109	324	265
110	326	261
111	328	258
112	329	253
113	331	249
114	332	245
115	333	241
116	335	237
117	336	233
118	337	230
119	339	226
120	340	222
121	342	219
122	344	215
123	345	211
124	347	208
125	348	204
126	349	201
127	351	197
128	352	194
129	353	190
130	355	187
131	358	184
132	359	181
133	360	177
134	362	174
135	363	171
136	365	167
137	366	164
138	367	161
139	369	158
140	371	155
141	373	152
142	374	149
143	375	146
144	377	143
145	378	140
146	380	137
147	381	134
148	383	131
149	384	128
150	387	125
151	388	122
152	390	119
153	391	117
154	393	114
155	394	111
156	396	108
157	397	105
158	399	103
159	402	100
160	404	97
161	405	95
162	407	92
163	409	89
164	410	87
165	412	84
166	417	82
167	419	79
168	421	77
169	422	74
170	424	71
171	425	69
172	427	66
173	429	64
174	431	61
175	433	59
176	434	56
177	436	53
178	437	51
179	439	48
180	440	46
181	442	43
182	443	41
183	445	38
184	447	36
185	449	33
186	450	31
187	452	28
188	454	26
189	455	23
190	457	21
191	459	19
192	461	16
193	463	14
194	464	11
195	466	9
196	467	7
197	469	4
198	470	2
199	472	0
