iter	Passed	Remaining
0	430	429894
1	432	215813
2	434	144372
3	436	108676
4	439	87371
5	441	73182
6	443	62963
7	446	55317
8	448	49389
9	450	44600
10	452	40722
11	456	37582
12	458	34807
13	460	32426
14	462	30400
15	464	28591
16	467	27042
17	470	25671
18	474	24511
19	477	23382
20	480	22406
21	485	21567
22	487	20719
23	491	19979
24	496	19376
25	500	18743
26	504	18190
27	507	17604
28	509	17055
29	511	16542
30	517	16178
31	520	15743
32	523	15344
33	525	14941
34	535	14754
35	537	14390
36	539	14047
37	543	13747
38	548	13516
39	555	13320
40	557	13041
41	562	12830
42	564	12573
43	569	12370
44	571	12137
45	579	12018
46	581	11799
47	584	11594
48	587	11403
49	590	11215
50	595	11082
51	597	10901
52	600	10726
53	602	10555
54	613	10539
55	616	10398
56	620	10271
57	626	10176
58	630	10054
59	632	9913
60	642	9887
61	645	9772
62	648	9643
63	651	9533
64	657	9460
65	660	9342
66	662	9230
67	665	9118
68	670	9046
69	673	8942
70	675	8838
71	677	8730
72	679	8632
73	682	8542
74	685	8459
75	688	8367
76	690	8275
77	693	8196
78	696	8119
79	699	8049
80	702	7971
81	707	7917
82	708	7827
83	710	7751
84	713	7684
85	717	7620
86	719	7551
87	721	7480
88	724	7418
89	728	7363
90	732	7312
91	736	7272
92	739	7208
93	741	7145
94	744	7092
95	747	7040
96	749	6979
97	751	6920
98	754	6862
99	756	6805
100	758	6751
101	761	6707
102	764	6655
103	766	6606
104	769	6555
105	771	6504
106	773	6456
107	776	6416
108	778	6367
109	781	6320
110	783	6271
111	784	6223
112	786	6176
113	791	6150
114	793	6108
115	796	6072
116	798	6026
117	800	5984
118	802	5943
119	810	5940
120	813	5911
121	816	5874
122	822	5866
123	829	5858
124	832	5830
125	839	5820
126	841	5784
127	845	5756
128	848	5726
129	857	5738
130	860	5708
131	863	5678
132	872	5687
133	875	5658
134	879	5632
135	884	5621
136	887	5593
137	892	5575
138	896	5550
139	900	5533
140	903	5505
141	905	5470
142	907	5439
143	910	5410
144	913	5387
145	916	5361
146	920	5343
147	923	5318
148	929	5310
149	933	5287
150	936	5263
151	938	5238
152	942	5219
153	947	5204
154	951	5185
155	955	5166
156	961	5160
157	964	5137
158	992	5251
159	995	5227
160	997	5197
161	1000	5176
162	1004	5156
163	1015	5174
164	1025	5191
165	1028	5168
166	1031	5144
167	1034	5121
168	1038	5104
169	1041	5084
170	1046	5072
171	1056	5084
172	1059	5063
173	1062	5042
174	1066	5029
175	1070	5010
176	1073	4990
177	1076	4973
178	1079	4952
179	1088	4960
180	1096	4959
181	1099	4942
182	1107	4944
183	1110	4926
184	1122	4945
185	1128	4938
186	1137	4945
187	1156	4995
188	1163	4990
189	1167	4975
190	1170	4955
191	1173	4939
192	1179	4932
193	1187	4935
194	1193	4925
195	1196	4908
196	1199	4889
197	1208	4894
198	1213	4882
199	1216	4864
200	1219	4847
201	1224	4838
202	1229	4825
203	1232	4810
204	1240	4811
205	1251	4824
206	1259	4823
207	1263	4811
208	1266	4794
209	1270	4778
210	1273	4761
211	1276	4743
212	1279	4728
213	1282	4711
214	1286	4695
215	1290	4682
216	1295	4673
217	1300	4665
218	1307	4663
219	1310	4646
220	1313	4629
221	1316	4613
222	1320	4599
223	1322	4582
224	1329	4579
225	1335	4573
226	1339	4560
227	1342	4545
228	1347	4536
229	1350	4521
230	1353	4505
231	1356	4490
232	1361	4480
233	1367	4477
234	1372	4467
235	1378	4461
236	1383	4453
237	1386	4439
238	1390	4426
239	1399	4431
240	1402	4417
241	1416	4436
242	1419	4423
243	1423	4411
244	1431	4410
245	1434	4397
246	1439	4389
247	1443	4378
248	1446	4363
249	1451	4353
250	1456	4346
251	1460	4336
252	1464	4323
253	1468	4312
254	1473	4304
255	1476	4291
256	1480	4279
257	1485	4273
258	1490	4263
259	1494	4254
260	1499	4246
261	1503	4233
262	1506	4221
263	1519	4235
264	1522	4222
265	1527	4215
266	1532	4207
267	1535	4194
268	1538	4180
269	1542	4171
270	1547	4162
271	1551	4151
272	1559	4151
273	1565	4148
274	1569	4136
275	1580	4147
276	1591	4153
277	1595	4143
278	1603	4142
279	1611	4144
280	1617	4139
281	1620	4126
282	1624	4116
283	1627	4102
284	1631	4091
285	1636	4084
286	1640	4075
287	1643	4063
288	1646	4050
289	1648	4036
290	1651	4023
291	1655	4013
292	1657	3999
293	1660	3987
294	1663	3974
295	1667	3965
296	1669	3952
297	1672	3941
298	1675	3928
299	1679	3919
300	1684	3910
301	1686	3898
302	1688	3884
303	1692	3874
304	1700	3874
305	1702	3861
306	1706	3851
